t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.170979e-08,4.000000e+03,3.811226e+03,3.927447e+05,4.011225e+05,8.377773e+03,1.000000e+00,NaN,NaN,1.922616e-03,0.000000e+00,6.180600e+19,2.111798e+20,0.000000e+00,4.668101e+20,2.740358e+18,5.843461e+20,1.467137e+02,4.694525e+00,1.420192e+02,NaN,NaN,NaN,NaN,4.213278e-02,NaN,3.507955e+06,1.112063e-03
1.852305e+00,3.997502e+03,3.809722e+03,3.912386e+05,3.996164e+05,8.377773e+03,1.000000e+00,NaN,NaN,1.924956e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668101e+20,2.740357e+18,5.843462e+20,1.467136e+02,4.694524e+00,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.113485e-03
3.713172e+00,3.995004e+03,3.807842e+03,3.893635e+05,3.977413e+05,8.377773e+03,1.000000e+00,NaN,NaN,1.927886e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668101e+20,2.740357e+18,5.843462e+20,1.467136e+02,4.694524e+00,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.114911e-03
5.583002e+00,3.992507e+03,3.805960e+03,3.874963e+05,3.958741e+05,8.377773e+03,1.000000e+00,NaN,NaN,1.930822e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668101e+20,2.740357e+18,5.843462e+20,1.467136e+02,4.694523e+00,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.116341e-03
7.461844e+00,3.990009e+03,3.804076e+03,3.856369e+05,3.940147e+05,8.377772e+03,1.000000e+00,NaN,NaN,1.933766e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668101e+20,2.740357e+18,5.843462e+20,1.467136e+02,4.694523e+00,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.117775e-03
9.349748e+00,3.987512e+03,3.802190e+03,3.837853e+05,3.921631e+05,8.377772e+03,1.000000e+00,NaN,NaN,1.936717e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668101e+20,2.740357e+18,5.843462e+20,1.467136e+02,4.694523e+00,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.119214e-03
1.124676e+01,3.985014e+03,3.800303e+03,3.819415e+05,3.903192e+05,8.377772e+03,1.000000e+00,NaN,NaN,1.939674e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668101e+20,2.740357e+18,5.843462e+20,1.467136e+02,4.694523e+00,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.120657e-03
1.315294e+01,3.982516e+03,3.798414e+03,3.801054e+05,3.884832e+05,8.377772e+03,1.000000e+00,NaN,NaN,1.942639e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668101e+20,2.740357e+18,5.843462e+20,1.467136e+02,4.694523e+00,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.122104e-03
1.506832e+01,3.980019e+03,3.796523e+03,3.782771e+05,3.866549e+05,8.377771e+03,1.000000e+00,NaN,NaN,1.945610e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668100e+20,2.740357e+18,5.843462e+20,1.467136e+02,4.694523e+00,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.123555e-03
1.699296e+01,3.977521e+03,3.794631e+03,3.764565e+05,3.848343e+05,8.377771e+03,1.000000e+00,NaN,NaN,1.948589e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668100e+20,2.740357e+18,5.843462e+20,1.467136e+02,4.694523e+00,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.125011e-03
